word,similarity
rescue,1.0000000000000002
assistance,1
save,0.9999999999999999
aid,0.9999999999999991
saving,0.9201505485341112
saved,0.9146544211100063
assist,0.894924823224968
get,0.8824155838707317
saves,0.8799442772191496
forget,0.8775216713967773
now,0.8772580637843982
need,0.8769807011919438
make,0.8756571094896889
providing,0.8747095913884871
let,0.8743987306794141
able,0.8742775953111087
needed,0.8714192486467341
give,0.8695831138827521
take,0.8678443078565478
put,0.8670704962546428
instead,0.8667684437876819
keep,0.866672753288266
can,0.8659674876018044
want,0.8658316095813193
provide,0.8654821633343095
every,0.8650840606253922
sure,0.8642351522128741
rescued,0.8640258419458834
simply,0.8622536898337129
lets,0.8605284821481602
bring,0.8603479331136751
everything,0.8600656609205833
just,0.8583977867304635
return,0.8578543604849012
find,0.8578411277378555
help,0.8576125474988172
provided,0.8571387216003273
services,0.8552587949643277
service,0.8544069360763973
choose,0.8541417517800297
wish,0.8540817727662077
another,0.8539133708585939
one,0.8533997795401481
whatever,0.8531853326228576
without,0.8529720279333527
time,0.8527557565838384
see,0.8502817092477658
assisting,0.8500570589287759
rest,0.8498120243376228
way,0.8494666835318193
takes,0.849004638970015
giving,0.84861741833919
chance,0.8484195117871747
turn,0.8472597592440576
going,0.8467573254447347
possible,0.846493793876895
leave,0.8457501289092167
else,0.8452720682732188
helping,0.8445260428049475
try,0.8442218633045973
easily,0.8441170376991673
away,0.8441100080150925
start,0.8440045801475882
option,0.8437679803731445
end,0.8431839906456874
right,0.8424930677323205
support,0.8424499237933045
decide,0.842441774082269
even,0.8424242192453294
next,0.8418571962229018
easy,0.8417867230013268
come,0.841713180634422
remember,0.8407461407143468
back,0.839919453528376
goes,0.8399018950365119
rescues,0.839820480975615
anywhere,0.8396854321742484
worth,0.8394886333226727
free,0.8385166696568481
putting,0.8380789881326957
set,0.8379236023302732
full,0.8376648999723939
wait,0.8375200520131306
might,0.8373440143777697
still,0.8373389626382394
making,0.8368584930774229
enough,0.8359862023961102
much,0.8354935894527513
must,0.8352921458895861
know,0.8348966463281555
necessary,0.834715398209535
ready,0.8346797206166884
needs,0.8346546879107792
anyone,0.8346009785786083
spend,0.834476647067891
exactly,0.8344742140761197
nothing,0.8341486817111967
yes,0.8334752813846276
anything,0.8333304972330977
comes,0.8333288312688326
order,0.8332548668670653
getting,0.8332268874355468
anyway,0.8331602006698812
already,0.8329607060008102
ensure,0.8328504242453532
money,0.83267605878359785
benefit,0.832655668872248
soon,0.8325267120902073
whenever,0.8322736209710907
alone,0.8320345852461013
deal,0.8320084345450577
gone,0.8318497246067138
besides,0.8315041230912854
receive,0.8314790032439529
reason,0.8313245935287944
actually,0.8309674802235569
move,0.8309091092748553
gives,0.8307525788074717
needing,0.8304125171849746
maybe,0.8303353443396602
run,0.8302775051355551
done,0.8300726758436309
longer,0.8298121415832183
lost,0.8298048958532568
choice,0.8297833590414732
means,0.8297095209427997
trying,0.829511930329037
easier,0.8293582590952069
something,0.8288610421162709
makes,0.8287270352784064
unless,0.8284708081117016
better,0.8282293610042744
vital,0.8281658128806236
everyone,0.8280388756924111
allow,0.8276386613568768
check,0.8275875072892163
lastly,0.8275810547739447
good,0.827576639875482
imagine,0.827278844996229
required,0.8271924569634275
keeping,0.8270683651044957
either,0.8268584841092009
always,0.826830113845862
send,0.8267780589360008
meant,0.8266840353472846
use,0.8263031037156562
like,0.8261840820875476
unfortunately,0.8261368399697758
least,0.8255522960691571
home,0.8252335176725739
never,0.8248061982698
pay,0.8245751167100006
additional,0.8244993108699854
except,0.8244813166749688
supposed,0.8243641966329364
entire,0.8243472005360719
hoping,0.8241846244168689
cost,0.8239248583278342
hope,0.8238441703288759
wanted,0.8236506851303109
quickly,0.8236250152246577
missing,0.8235918358038546
extra,0.8233946978245856
possibly,0.8233391034934853
drop,0.8233118388188508
offered,0.8231004812649221
please,0.822662408864804
also,0.8226582212162581
things,0.8226068523026695
ways,0.8225508178525868
program,0.8224466441289257
quick,0.8220287435284405
plan,0.8219465631897523
add,0.8218142877917013
finally,0.8214648610088979
place,0.8213885127960711
pick,0.821102395664702
continue,0.8210475592335311
immediate,0.8210226057133918
change,0.8209726608252542
choosing,0.8206387829113221
otherwise,0.8201670766834475
however,0.8200614500865157
