word,similarity
help,0.919137111262783
support,0.9188187511704845
helping,0.9073045593830578
benefit,0.9014552694702955
need,0.901195254554777
needs,0.8986709202596164
bring,0.8973020236675988
needed,0.8968389847629409
provide,0.8947773336262222
also,0.8936842794143921
providing,0.8921884597676998
can,0.8901214693710928
continue,0.8899058798612933
working,0.8892818668028254
work,0.8879555538563285
opportunity,0.8874672575582084
able,0.8873955890291066
give,0.8865786710007105
aid,0.8848910256992275
provided,0.8831281353165449
assistance,0.8826517203274035
well,0.882647955741496
make,0.8811808364729444
giving,0.8804864662409989
allow,0.8775537784534425
take,0.8751465996980115
must,0.8746106178031432
raise,0.8744564163412788
care,0.873283488266993
helped,0.8729368195249729
now,0.8726680509346255
part,0.8726593054149842
possible,0.8720378332724875
one,0.8705989757507208
new,0.8687921122179653
future,0.8683276358628138
addition,0.8683258981237285
important,0.8680375224670239
effort,0.8678092489782837
supporting,0.8675967616235826
may,0.8657841226855941
receive,0.8654426600299957
bringing,0.8642923402241415
plan,0.8641858256930512
want,0.8640037949462642
manage,0.8638978953587748
ensure,0.8632836086740534
whether,0.8628498514324653
keep,0.8621023632337981
many,0.8605128265373427
efforts,0.8601896524498849
meet,0.8600490332344513
currently,0.8598916797763632
necessary,0.8593309361078318
another,0.8591145826875378
resources,0.8590537707082203
importantly,0.8589104867385204
others,0.8585385466812447
assist,0.8578049749109892
put,0.8574892682971845
managed,0.857406933779817
purpose,0.8573162750145434
share,0.8572987669538198
money,0.8572438726149645
consider,0.8570955753056029
however,0.8568862219783274
including,0.8559488613836507
offer,0.8549327160961834
sure,0.8546523088194264
plans,0.8546222721906879
offered,0.8544504392902298
wish,0.854241435844151
directly,0.8542201691609383
making,0.8539775355897965
additional,0.8536264796087145
save,0.853536233031924
find,0.8530668434757401
ways,0.8529709479759991
every,0.8528605559658916
current,0.8528238426401832
access,0.8514393240941752
given,0.8510163854877142
means,0.8505461658716126
funds,0.8502291002329263
might,0.8500992723253319
way,0.849867025617096
time,0.8498517227400768
funding,0.8495930743380175
responsible,0.8492978057600086
together,0.8490881869613622
keeping,0.8489553005497272
specifically,0.8483552586511139
advance,0.8480135749586777
hold,0.8479823743480731
contribute,0.8475192327678772
include,0.847352481398163
program,0.8473006649929069
special,0.8470526544946084
come,0.8470436095414277
get,0.8470394522465998
today,0.846965998392267
let,0.8468783132147063
hope,0.8463566054148297
individual,0.8459022553256447
encourage,0.8458876518419606
information,0.8457713061707045
change,0.8456631828054066
required,0.8456445938716073
choice,0.8453826456101239
willing,0.8452391181967374
organization,0.8451324083368454
personal,0.8450815368729757
choose,0.8448339606640508
please,0.844818122239534
already,0.8447409468854323
use,0.8446969526745894
see,0.8445900206991444
helps,0.8443038553290914
continuing,0.8437381679145347
deal,0.8436540311198145
ask,0.8435737422575278
business,0.8434768977695271
intended,0.8434142579994116
planning,0.8433410360701686
know,0.8433165638974848
without,0.8431866032872304
good,0.8430078037656505
right,0.8428365963147264
full,0.8426818529198835
besides,0.8426740606254449
require,0.8426457837629752
decide,0.8423697461862433
example,0.842314994488964
dedicated,0.8422414937421874
priority,0.8421413537182334
alone,0.8420151717782806
much,0.8419001895736421
ready,0.8418362780218113
simply,0.841834743582333
fund,0.8417181958416262
involved,0.8408682509375487
available,0.8408296563158714
lastly,0.8407740249125335
expect,0.8404605561601823
